"land_lieferant";"sprache";"hauptlieferant";"lieferantennummer";"kontakt_lieferant";"artikelnummer_heine";"artikelbeschreibung";"1_langbeschreibung";"2_langbeschreibung";"artikelbeschreibung_englisch";"1_langbeschreibung_englisch";"2_langbeschreibung_englisch";"einheit";"einheit_deutsch";"einheit_englisch";"artikelnummer_lieferant";"gewicht_je_einheit";"ursprungsland";"zolltarifnummer"
"China";"Englisch";"Sino Meir International";99988;"sinomeir@hotmail.com, paper163@hotmail.com";84200155;"Magnesium-Oxid";"22SR-80,MEP-H80 silikonfrei,";"Magnel.HT80, in Säcken je 25kg";"magnesium oxide";"22SR-80,MEP-H80 silicone-free,";"Magnel.HT80, bag to max 25kg";"kg";"kg";"kg";"";"";"";""
"China";"Englisch";"Sino Meir International";99988;"sinomeir@hotmail.com, paper163@hotmail.com";"84200155 0004";"Magnesium-Oxid";"22SR-80, MEP-H80 silikonfrei";"in Säcken zu je 25kg";"magnesium oxide";"22SR-80, MEP-H80 silicone-free";"to bag to max 25kg";"kg";"kg";"kg";"";"";"";""
"China";"Englisch";"PreTec Schneidtechnologien GmbH";17274;"kontakt@pretec-dresden.de";"02 33003 0";"Trägerplatte für 40x20";0;0;"beam plate for 40x20";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"PreTec Schneidtechnologien GmbH";17274;"kontakt@pretec-dresden.de";"02 33009 0";"Trägerplatte für 40x20 geschl.";0;0;"beam plate for 40x20 closed";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"DE (wg. 7% MwSt)";"Deutsch";"Evangelische Behindertenhilfe Dresden";35058;"heine@evangelische-behindertenhilfe-dresden.de";"02 35751 0 0006";"Kühlkörpergehäuse 300 mm lang";"Typ: 70x70";0;"cooling house 300 mm long";"type: 70x70";0;"Stck";"Stück";"pcs.";1213;"";"";""
"DE (wg. 7% MwSt)";"Deutsch";"Evangelische Behindertenhilfe Dresden";35058;"heine@evangelische-behindertenhilfe-dresden.de";"02 00168 0 0620";"Gewindestab M5x 620 A2-70";"ähnlich DIN 976";0;"threaded rod M5x 620 A2-70";".";0;"Stck";"Stück";"pcs.";1850;"";"";""
"DE (wg. 7% MwSt)";"Deutsch";"Evangelische Behindertenhilfe Dresden";35058;"heine@evangelische-behindertenhilfe-dresden.de";"02 00171 0 0133";"Gewindestab M10x775x45x30";"Material 1.4305";"Gew.geschnitten";"Threaded rod M10x775x45x30";"material 1.4305";"cut thread";"Stck";"Stück";"pcs.";2040;"";"";""
"DE (wg. 7% MwSt)";"Deutsch";"Evangelische Behindertenhilfe Dresden";35058;"heine@evangelische-behindertenhilfe-dresden.de";"02 00171 0 0088";"Gewindestab M10x650x25x25";"aus Rd. 10 h9-EN 10278-1.4305";"Gewinde geschnitten";0;"Rd. 10 h9-EN 10278-1.4305";"thread cutted";"Stck";"Stück";"pcs.";1064;"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 10606 0 0003";"Zuschnitt Schienenisolierung";"Rongtai, R-5660-S3, Phlogopite";0;"Blank rail insulation";"Rongtai, R-5660-S3, Phlogopit";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 31201 1";"Wicklungstr vormont.";"GWS 167-60x30";0;"winding frame premounted 167";"GWS 167-60x30 complete";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 31301 1";"Wicklungstr vormont.";"GWS 217-60x30";0;"winding frame premounted 217";"GWS 217-60x30 complete";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 31302 1";"Wicklungstr vormont. verstärkt";"GWS 217-60x30";0;"winding frame premounted reinf";"GWS 217-60x30 complete";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 31401 1";"Wicklungstr vormont.";"GWS 267-60x30";0;"winding frame premounted 267";"GWS 267-60x30 complete";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 31402 1";"Wicklungstr vormont. verstärkt";"GWS 267-60x30";0;"winding frame premounted reinf";"GWS 267-60x30 complete";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 31501 1";"Wicklungstr vormont.";"GWS 337-60x30";0;"winding frame premounted 337";"GWS 337-60x30 complete";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 31502 1";"Wicklungstr vormont. verstärkt";"GWS 337-60x30";0;"winding frame premounted reinf";"GWS 337-60x30 complete";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 37002 0 0002";"Isolierplatte-1 130-80x15";0;0;"insulating plate-1 130-80x15";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 37003 0";"Trägerplatte offen";"80x15 (53x15)";0;"beam plate open";"80x15 (53x15)";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 37005 0 0002";"Isolierplatte-2 130-80x15";0;0;"insulating plate-2 130-80x15";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 37006 0";"Verschlussplatte 80x15";0;0;"closing plate 80x15";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 37009 0";"Verschlussplatte 80x15";"Anschlussseite";"Mikanit";"closing plate 80x15";"connection side";"Mica";"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 37012 0";"Trägerplatte";"80x15 (53x11)";0;"beam plate";"80x15 (53x11)";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38211 0";"Verschlussplatte 3-Loch 60x30";"OTIS";0;"closing panel 3-hole 60x30";"OTIS";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38212 0";"Verschlussplatte Nase  60x30";0;0;"closing panel  flange 60x30";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38213 1 0001";"Wicklungsträger vormontiert";"OTIS";0;"winding frame premounted";"OTIS";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38236 0 0200";"Isolierplatte 1 GWS 167-60x30";0;0;"insulating plate1GWS 167-60x30";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38236 0 0300";"Isolierplatte 1 GWS 217-60x30";0;0;"insulating plate1GWS 217-60x30";0;0;"Stck";"Stück";"pcs.";"";"";"";""
